"tract","Name","Incarceration_Rate_rP_gP_pall"
24005450504,"Essex, MD",0.0377
24005402405,"Gwynn Oak, Baltimore, MD",0.0375
24510260303,"Claremont - Freedom, Baltimore, MD",0.0362
24510270805,"Mid-Govans, Baltimore, MD",0.036
24510280404,"Irvington, Baltimore, MD",0.0358
24510230200,"South Baltimore, Baltimore, MD",0.0356
24510090500,"Better Waverly, Baltimore, MD",0.0356
24510250205,"Lakeland, Baltimore, MD",0.0355
24005401200,"Woodlawn, MD",0.0355
24510280101,"Reisterstown Station, Baltimore, MD",0.0354
24005441000,"Baltimore, MD",0.0354
24510010200,"Patterson Park, Baltimore, MD",0.0353
24510271802,"Langston Hughes, Baltimore, MD",0.0353
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.0352
24510040100,"Downtown, Baltimore, MD",0.0351
24510150800,"Garwyn Oaks, Baltimore, MD",0.0349
24510010500,"Upper Fells Point, Baltimore, MD",0.0348
24510230100,"Baltimore, MD",0.0347
24510110200,"Downtown, Baltimore, MD",0.0346
24005421200,"Dundalk, MD",0.0344
24005402307,"Pikesville, MD",0.0344
24005401102,"Gwynn Oak, Woodlawn, MD",0.034
24510250401,"Brooklyn, Baltimore, MD",0.0339
24005402504,"Randallstown, MD",0.0337
24510260102,"Frankford, Baltimore, MD",0.0337
24005420402,"Dundalk, MD",0.0335
24510230300,"South Baltimore, Baltimore, MD",0.0331
24005402303,"Windsor Mill, Baltimore, MD",0.0329
24510010400,"Canton, Baltimore, MD",0.0324
24510080101,"Belair - Edison, Baltimore, MD",0.0321
24510020200,"Upper Fells Point, Baltimore, MD",0.0321
24510260101,"Cedmont, Baltimore, MD",0.032
24510120700,"Remington, Baltimore, MD",0.0319
24005452000,"Sparrows Point, MD",0.0318
24005451801,"Middle River, MD",0.0317
24005452500,"Dundalk, MD",0.0316
24005402306,"Windsor Mill, Baltimore, MD",0.0315
24005402302,"Windsor Mill, Milford Mill, MD",0.0315
24005450800,"Essex, MD",0.0312
24510151100,"East Arlington, Baltimore, MD",0.0312
24510240300,"Riverside, Baltimore, MD",0.031
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.0308
24003751102,"Glen Burnie, MD",0.0308
24510240100,"Locust Point, Baltimore, MD",0.0305
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0305
24005420702,"Dundalk, MD",0.0302
24510030200,"Little Italy, Baltimore, MD",0.0297
24005491401,"Parkville, MD",0.0296
24005491600,"Parkville, MD",0.0296
24005402304,"Gwynn Oak, Baltimore, MD",0.0294
24510250303,"Morrell Park, Baltimore, MD",0.0294
24510260900,"Baltimore, MD",0.0292
24005450503,"Essex, MD",0.0291
24510270803,"Loch Raven, Baltimore, MD",0.029
24510260700,"Fifteenth Street, Baltimore, MD",0.0288
24510260401,"Armistead Gardens, Baltimore, MD",0.0287
24510210200,"Pigtown, Baltimore, MD",0.0286
24005452300,"Baltimore, MD",0.0284
24510010100,"Canton, Baltimore, MD",0.028
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.0277
24510260501,"Joseph Lee, Baltimore, MD",0.0275
24510260404,"Baltimore Highlands, Baltimore, MD",0.0273
24005402603,"Randallstown, MD",0.0271
24005402503,"Randallstown, MD",0.0269
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.0266
24510010300,"Canton, Baltimore, MD",0.0259
24005450200,"Essex, MD",0.0258
24510130600,"Hampden, Baltimore, MD",0.0258
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.0257
24005402406,"Windsor Mill, Milford Mill, MD",0.0256
24005450400,"Essex, MD",0.0255
24510270401,"Glenham-Belford, Baltimore, MD",0.0254
24510150500,"Burleith-Leighton, Baltimore, MD",0.0252
24005420401,"Dundalk, MD",0.0248
24005401301,"Woodlawn, MD",0.0247
24510270101,"Arcadia, Baltimore, MD",0.0247
24510270501,"Woodring, Baltimore, MD",0.0244
24510200701,"Allendale, Baltimore, MD",0.0243
24005451701,"Middle River, MD",0.0242
24005421000,"Dundalk, MD",0.0241
24510270301,"Lauraville, Baltimore, MD",0.024
24027601203,"Elkridge, MD",0.0233
24003750102,"Baltimore, MD",0.0233
24005440701,"Rosedale, MD",0.0232
24510280401,"Baltimore, MD",0.023
24510270801,"Idlewood, Baltimore, MD",0.0228
24005402604,"Randallstown, MD",0.0228
24005451500,"Middle River, MD",0.0228
24510250600,"Brooklyn, Baltimore, MD",0.0226
24003750201,"Brooklyn, Baltimore, MD",0.0224
24005452400,"Dundalk, MD",0.022
24005451600,"Middle River, MD",0.022
24005403201,"Gwynn Oak, Lochearn, MD",0.0219
24510270804,"Lake Walker, Baltimore, MD",0.0218
24005400702,"Baltimore, MD",0.0205
24005402505,"Randallstown, MD",0.0204
24005420301,"Dundalk, MD",0.0202
24510240400,"Riverside Park, Baltimore, MD",0.02
24005451402,"Middle River, MD",0.0197
24005452100,"Sparrows Point, MD",0.0195
24005402403,"Gwynn Oak, Baltimore, MD",0.0192
24005403402,"Pikesville, MD",0.0192
24005440702,"Rosedale, MD",0.0189
24510270102,"Waltherson, Baltimore, MD",0.0186
24510260605,"Medford - Broening, Baltimore, MD",0.0186
24005492300,"Essex, MD",0.018
24027606707,"Columbia, MD",0.0178
24005490900,"Towson, MD",0.0175
24005451803,"Middle River, MD",0.0175
24510270200,"Lauraville, Baltimore, MD",0.0174
24005400800,"Catonsville, MD",0.0173
24005401101,"Woodlawn, MD",0.0172
24005401506,"Windsor Mill, Baltimore, MD",0.0171
24005492002,"Parkville, MD",0.017
24003750803,"Glen Burnie, MD",0.0168
24005492101,"Parkville, MD",0.0168
24005492001,"Parkville, MD",0.0168
24005400701,"Catonsville, MD",0.0167
24510130806,"Woodberry, Baltimore, MD",0.0166
24005451300,"Middle River, MD",0.0166
24005420600,"Baltimore, MD",0.0164
24005430900,"Baltimore, MD",0.0164
24005440300,"Nottingham, MD",0.0163
24005400100,"Catonsville, MD",0.0162
24005401507,"Windsor Mill, Baltimore, MD",0.0162
24510272007,"Fallstaff, Baltimore, MD",0.0161
24005421102,"Dundalk, MD",0.016
24510250206,"Morrell Park, Baltimore, MD",0.016
24005451000,"Essex, MD",0.016
24005450300,"Essex, MD",0.0158
24005491500,"Parkville, MD",0.0155
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.0151
24003750801,"Glen Burnie, MD",0.0151
24005451200,"Middle River, MD",0.0149
24003751103,"Glen Burnie, MD",0.0147
24005491402,"Parkville, MD",0.0147
24510270402,"Glenham-Belford, Baltimore, MD",0.0145
24005441102,"Rosedale, MD",0.0145
24005451802,"Middle River, MD",0.0143
24005421101,"Baltimore, MD",0.0142
24510130804,"Hampden, Baltimore, MD",0.0142
24027601108,"Ellicott City, MD",0.0142
24005403602,"Baltimore, MD",0.0142
24005403202,"Gwynn Oak, Baltimore, MD",0.014
24003750202,"Brooklyn Park, MD",0.0139
24005430400,"Halethorpe, MD",0.0138
24510280403,"Westgate, Baltimore, MD",0.0137
24005420303,"Dundalk, MD",0.0136
24005402509,"Owings Mills, MD",0.0136
24510250103,"Violetville, Baltimore, MD",0.0134
24005401505,"Catonsville, MD",0.0133
24003750101,"Brooklyn Park, MD",0.0133
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0129
24510271101,"Radnor - Winston, Baltimore, MD",0.0127
24005402506,"Randallstown, MD",0.0126
24003750300,"Linthicum Heights, MD",0.0125
24005451100,"Essex, MD",0.0125
24005411307,"Nottingham, MD",0.0123
24005451702,"Middle River, MD",0.0121
24005440400,"Baltimore, MD",0.0121
24005411407,"Parkville, MD",0.0119
24027601107,"Waterloo, Elkridge, MD",0.0118
24005441101,"Rosedale, MD",0.0117
24005430700,"Halethorpe, MD",0.0117
24003750804,"Glen Burnie, MD",0.0117
24005450900,"Essex, MD",0.0115
24005400600,"Catonsville, MD",0.0113
24005440100,"Baltimore, MD",0.0113
24027606606,"Long Reach, Columbia, MD",0.0113
24005420100,"Dundalk, MD",0.0111
24510272006,"Glen, Baltimore, MD",0.011
24005420701,"Dundalk, MD",0.0109
24027606901,"Savage, Jessup, MD",0.0109
24005401000,"Catonsville, MD",0.0109
24510270502,"North Harford Road, Baltimore, MD",0.0108
24027601201,"Elkridge, MD",0.0106
24005440900,"Rosedale, MD",0.0104
24027601204,"Elkridge, MD",0.0104
24510130803,"Medfield, Baltimore, MD",0.0101
24005411309,"Perry Hall, MD",0.0099
24005420200,"Dundalk, MD",0.0099
24005492102,"Parkville, MD",0.0099
24005420800,"Dundalk, MD",0.0098
24003751200,"Linthicum Heights, MD",0.0097
24027606607,"Long Reach, Columbia, MD",0.0094
24005401504,"Catonsville, MD",0.0093
24005491000,"Baltimore, MD",0.0091
24027602800,"Ellicott City, MD",0.009
24510040200,"Downtown, Baltimore, MD",0.009
24005402407,"Windsor Mill, Milford Mill, MD",0.0088
24005440800,"Rosedale, MD",0.0088
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.0086
24005451900,"Edgemere, MD",0.0086
24005400900,"Catonsville, MD",0.0079
24510130700,"Hampden, Baltimore, MD",0.0077
24510220100,"Baltimore, MD",0.0076
24005440200,"Nottingham, MD",0.0073
24005402602,"Randallstown, MD",0.0071
24027606706,"Kendall Ridge, Columbia, MD",0.0067
24005403702,"Pikesville, MD",0.0067
24005403100,"Gwynn Oak, Pikesville, MD",0.0066
24005450501,"Essex, MD",0.0066
24005430600,"Relay, Halethorpe, MD",0.0064
24510271400,"Evergreen, Baltimore, MD",0.0064
24005420900,"Dundalk, MD",0.0063
24510272003,"Baltimore, MD",0.0062
24005400500,"Catonsville, MD",0.0062
24005491300,"Baltimore, MD",0.006
24005411408,"Nottingham, MD",0.0059
24003751000,"Glen Burnie, MD",0.0059
24027602600,"Ellicott City, MD",0.0058
24005411302,"White Marsh, MD",0.0057
24005411306,"Nottingham, MD",0.0053
24510272004,"Cheswolde, Baltimore, MD",0.0052
24027601104,"Ellicott City, MD",0.0051
24027602900,"Normandy, Ellicott City, MD",0.0051
24005440600,"Rosedale, MD",0.005
24510270703,"North Harford Road, Baltimore, MD",0.005
24003731308,"Pasadena, MD",0.0049
24510271102,"Mid-Charles, Baltimore, MD",0.0047
24027601103,"West Elkridge, Elkridge, MD",0.0045
24005450100,"Rosedale, MD",0.0044
24005402202,"Baltimore County, MD",0.0042
24510271200,"Homeland, Baltimore, MD",0.004
24005411308,"Nottingham, MD",0.0038
24005403401,"Pikesville, MD",0.0037
24027602302,"Columbia, MD",0.0035
24003750400,"Linthicum Heights, MD",0.0035
24510020300,"Fells Point, Baltimore, MD",0.0034
24510120201,"Baltimore, MD",0.0033
24005420500,"Baltimore, MD",0.0033
24005411303,"Nottingham, MD",0.0029
24003740102,"Hanover, MD",0.0029
24005403701,"Owings Mills, MD",0.0027
24005430800,"Halethorpe, MD",0.0026
24027602100,"Ellicott City, MD",0.0026
24005490800,"Towson, MD",0.0025
24005400400,"Catonsville, MD",0.0023
24005403300,"Lochearn, Pikesville, MD",0.0022
24005491202,"Towson, MD",0.0021
24005491900,"Parkville, MD",0.002
24005403601,"Baltimore, MD",0.002
24005491100,"Baltimore, MD",0.0017
24003750900,"Glen Burnie, MD",0.0016
24027601105,"Ellicott City, MD",0.0014
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.0012
24005440500,"Nottingham, MD",0.0011
24510272005,"Cross Country, Baltimore, MD",0.0011
24510261100,"Canton, Baltimore, MD",0.001
24510270302,"Waltherson, Baltimore, MD",0.0008
24005401400,"Catonsville, MD",0.0007
24005490400,"Towson, MD",0.0006
24005490602,"Baltimore, MD",0.0005
24005403500,"Pikesville, MD",0.0003
24005401503,"Catonsville, MD",0.0003
24003750203,"Baltimore, MD",0.0003
24510271300,"Roland Park, Baltimore, MD",0.0002
24510271503,"Cross Keys, Baltimore, MD",0.0001
24005403802,"Pikesville, MD",0
24510120202,"Baltimore, MD",0
24005490601,"Baltimore, MD",0
24510240200,"Riverside, Baltimore, MD",0
24005490500,"Towson, MD",0
24005403803,"Pikesville, MD",0
24005400200,"Catonsville, MD",0
24027602700,"Taylor Village, Ellicott City, MD",0
24005490603,"Baltimore, MD",0
24510271501,"Mount Washington, Baltimore, MD",0
24510130805,"Cold Springs, Baltimore, MD",0
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
